filename,xmlid,au-name,title,au-birth,au-death,au-ids,digitalSource,firsted-yr,ref-year,title-ids,language,numwords,subgenre,narr-per,au-gender,sizeCat,reprintCount,time-slot
FRA06301_Montepin,FRA06301,"de Montépin, Xavier",La porteuse de pain,1839,1915,viaf:87953024 wikidata:Q2735316,NA,1884,1903-1905,viaf:312338810 wikidata:Q3211818,fr,145892,NA,heterodiegetic,M,long,high,T3
FRA06401_Chandeneux,FRA06401,"Chandeneux, Claire de [Bérenger, Louise Lucienne Emma]",Les Ménages militaires,1836,1881,viaf:54272906 wikidata:Q2975144,NA,1876,1876-1878,viaf:missing wikidata:missing,fr,157157,NA,heterodiegetic,F,long,low,T2
FRA06501_Gyp,FRA06501,"Gyp [Mirabeau, Sibylle Riquetti de]",Totote,1849,1932,viaf:96218572 wikidata:Q199228,NA,1897,1897,viaf:missing wikidata:missing,fr,44196,NA,heterodiegetic,F,short,low,T3
FRA06601_Peladan,FRA06601,"Péladan, Joséphin [Joseph-Aimé Péladan]","Modestie et vanité, roman (La décadence latine, éthopée, XVI)",1858,1918,viaf:934869 wikidata:Q710019,NA,1902,1902,viaf:110146462764827772803 wikidata:missing,fr,72697,NA,heterodiegetic,M,medium,low,T4
FRA06701_Uchard,FRA06701,"Uchard, Mario",La Buveuse de perles,1824,1893,viaf:64099498 wikidata:Q14867927,La Buveuse de perles,1882,1882,viaf:missing wikidata:missing,fr,60908,tbc,heterodiegetic,M,medium,low,T3
FRA06801_Vaillant,FRA06801,"Vaillant, Victor",L'Elzévir de maroquin rouge,1815,1885,viaf:51823427,L'Elzévir de maroquin rouge,1861,1861,viaf:missing wikidata:missing,fr,73552,tbc,heterodiegetic,M,medium,low,T2
FRA06901_Vignon,FRA06901,"Vignon, Claude [Marie-Noémi Cadiot]",Révoltée !,1828,1888,viaf:54831988 wikidata:missing,Révoltée,1879,1879,viaf:missing wikidata:missing,fr,93413,NA,heterodiegetic,F,medium,low,T2
FRA07001_Mendes,FRA07001,"Mendès, Catulle",Lucignole,1841,1909,viaf:34460397 wikidata:Q971215,Lucignole,1892,1892,viaf:missing wikidata:missing,fr,29772,NA,heterodiegetic,M,short,low,T3
FRA07101_Blondel,FRA07101,"Blondel, Adèle","Élise, ou l'éducation particulière",1841,1909,viaf:301138355 wikidata:missing,"Élise, ou l'éducation particulière",1856,1856,viaf:missing wikidata:missing,fr,42483,NA,heterodiegetic,F,short,low,T1
FRA07201_Montagne,FRA07201,"Montagne, Édouard",Les Affamés de Londres,1830,1899,viaf:76379741 wikidata:Q47843466,Les Affamés de Londres,1886,1886,viaf:missing wikidata:missing,fr,84303,NA,heterodiegetic,M,medium,low,T2
FRA07301_Valgand,FRA07301,NA,"Blondine, roman nouveau",NA,NA,viaf:(inexistent),"Blondine, roman nouveau",1853,1853,viaf:missing wikidata:missing,fr,49025,NA,heterodiegetic,F,short,low,T1
FRA07401_Leblanc,FRA07401,"Leblanc, Maurice",813 (Huit-Cent-Treize),1864,1941,viaf:22144617 wikidata:Q314993,813,1910,NA,viaf:309297569 wikidata:Q2818471,fr,112340,crime fiction,heterodiegetic,M,long,high,T4
FRA07501_Darien,FRA07501,"Darien, Georges",Le Voleur,1862,1921,viaf:59052457 wikidata:Q1508877,Le Voleur,1897,1898,viaf:210980756 wikidata:Q3228211,fr,145111,NA,homodiegetic,M,long,high,T3
FRA07601_Leroux,FRA07601,"Leroux, Gaston",La Reine du Sabbat,1868,1927,viaf:19680417 wikidata:Q298827,La Reine du Sabbat,1913,NA,viaf:missing wikidata:missing,fr,217799,NA,heterodiegetic,M,long,high,T4
